id,subdomain,date,year,mon_day,event,spot,spot_id,desc,link,more_text,note,note1,note2,note3
1,newburyport,,2018,MAR 2,UNDER WATER ,3,3,Storm surge floods American Yacht Club and erodes shoreline up to Wastewater Treatment Plant. ,,"Flooding the area in a single tidal cycle, a winter storm caused the highest tide since the weather service began recording in 1921 (1). With increased tidal levels and extreme weather due to climate change, flooding began to occur more frequently in coastal towns such as Newburyport (2). When astronomical high tides coincide with multi-day storm events, oceanic storm surge causes sea level to rise above the river which, consequently, prevents the river from discharging. As sea levels continued to rise throughout the 21st century, the risk of inundation continued to increase.","(1) Ferris, Robert. “Boston floods and records highest tide in nearly 100 years in wake of snowstorm.” CNBC (5 January 2018). https://www.cnbc.com/2018/01/05/boston-floods-and-records-highest-tide-in-nearly-100-years-in-wake-of-snowstorm.html <br><br> (2) Newburyport’s FEMA Hazard Mitigation Plan. Merrimac Valley Planning Commission (November 2015), p 204. https://mvpc.org/wp-content/uploads/MV-Multi-Hazard-Mitigation-Plan-Update_Nov-2015.pdf","(1) Ferris, Robert. “Boston floods and records highest tide in nearly 100 years in wake of snowstorm.” CNBC (5 January 2018). https://www.cnbc.com/2018/01/05/boston-floods-and-records-highest-tide-in-nearly-100-years-in-wake-of-snowstorm.html","(2) Newburyport’s FEMA Hazard Mitigation Plan. Merrimac Valley Planning Commission (November 2015), p 204. https://mvpc.org/wp-content/uploads/MV-Multi-Hazard-Mitigation-Plan-Update_Nov-2015.pdf  ",
2,newburyport,,2021,JUN 9,FACILITY PROTECTED,2,2,"Built against rising sea levels, this revetment made the Rail Trail possible and protects Wastewater Treatment Plant. ",,"In response to storm surge damage to the shore, plans were made to elevate the shoreline to keep flood waters from reaching the Wastewater Treatment Plant. With sea levels continuing to rise, the revetment only delayed when the city would need to relocate the plant to higher ground for a permanent solution (1). A significant benefit to the community was that the revetment construction enabled repair of the longstanding riverfront gap in the city’s Rail Trail. ","(1) Newburyport Climate Resiliency Plan, p 48. 
https://www.cityofnewburyport.com/sites/g/files/vyhlif3521/f/uploads/newburyport_climate_resiliency_plan_10-08-2020_final.pdf 
Great Marsh Coastal Adaptation plan, p 45.  
https://www.nwf.org/Educational-Resources/Reports/2017/12-01-2017-Great-Marsh-Adaptation-Plan ","(1) Newburyport Climate Resiliency Plan, p 48. 
https://www.cityofnewburyport.com/sites/g/files/vyhlif3521/f/uploads/newburyport_climate_resiliency_plan_10-08-2020_final.pdf 
Great Marsh Coastal Adaptation plan, p 45.  
https://www.nwf.org/Educational-Resources/Reports/2017/12-01-2017-Great-Marsh-Adaptation-Plan 
",,
3,newburyport,,2094,MAR ,NUISANCE EMERGES,1,1,"Climate change brings first winter in Newburyport with no days below freezing, and mosquitoes year-round.",,"As the planet warmed, climate zones moved farther from the equator. Across much of the country, advances in spring thaw have exceeded delay in fall freeze. In the Northeast, where winters have been warming three times as fast as summers, the season of activity for insects has extended. Mosquitoes, ticks, and other pests are less active in cooler weather, but without a hard frost their populations stopped declining over winter (1). As a result, human interaction with the diseases these pests carry increased (2).","(1) Rawlins, M., Bradley, R., Diaz, H., Kimball, J., Robinson, D. (2016) Future Decreases in Freezing Days across North America, p 6924.  https://journals.ametsoc.org/view/journals/clim/29/19/jcli-d-15-0802.1.xml <br><br> (2) Sommer, Lauren, Mose Buchele, Molly Samuel, Patty Wight, Michael E. Sakas, Amy Mayer, and Nat Herz. How Warming Winters Are Affecting Everything. Northeast. (18 February 2020). https://www.npr.org/2020/02/18/803125282/how-warming-winters-are-affecting-everything","(1) Rawlins, M., Bradley, R., Diaz, H., Kimball, J., Robinson, D. (2016) Future Decreases in Freezing Days across North America, p 6924.  https://journals.ametsoc.org/view/journals/clim/29/19/jcli-d-15-0802.1.xml ","(2) Sommer, Lauren, Mose Buchele, Molly Samuel, Patty Wight, Michael E. Sakas, Amy Mayer, and Nat Herz. How Warming Winters Are Affecting Everything. Northeast. (18 February 2020). https://www.npr.org/2020/02/18/803125282/how-warming-winters-are-affecting-everything",
